case_test, size, search_type,count,time,ids,right_answer
tests/0-test.txt,4,Blind Search,64,0.014,1 2 ,1 2 
tests/0-test.txt,4,Best-Fit Search,4,0.011,1 2 ,1 2 
tests/0-test.txt,4,B&B DFS,1,0.013,1 2 ,1 2 
tests/0-test.txt,4,B&B BFS,1,0.014,1 2 ,1 2 
tests/1-test.txt,8,Blind Search,2048,0.054,2 4 5 7 ,2 4 5 7 
tests/1-test.txt,8,Best-Fit Search,8,0.017,2 5 4 7 ,2 4 5 7 
tests/1-test.txt,8,B&B DFS,1,0.016,2 4 5 7 ,2 4 5 7 
tests/1-test.txt,8,B&B BFS,1,0.019,2 4 5 7 ,2 4 5 7 
tests/2-test.txt,10,Blind Search,10240,0.167,0 2 5 7 9 ,0 2 5 7 9 
tests/2-test.txt,10,Best-Fit Search,10,0.016,7 9 0 5 8 1 4 6 ,0 2 5 7 9 
tests/2-test.txt,10,B&B DFS,23,0.092,0 2 5 7 9 ,0 2 5 7 9 
tests/2-test.txt,10,B&B BFS,21,0.144,0 2 5 7 9 ,0 2 5 7 9 
tests/3-test.txt,5,Blind Search,160,0.017,0 1 2 3 ,0 1 2 3 
tests/3-test.txt,5,Best-Fit Search,5,0.014,1 3 0 2 ,0 1 2 3 
tests/3-test.txt,5,B&B DFS,5,0.026,0 1 2 3 ,0 1 2 3 
tests/3-test.txt,5,B&B BFS,3,0.03,0 1 2 3 ,0 1 2 3 
tests/4-test.txt,7,Blind Search,896,0.032,0 2 4 6 ,0 2 4 6 
tests/4-test.txt,7,Best-Fit Search,7,0.015,0 6 5 2 ,0 2 4 6 
tests/4-test.txt,7,B&B DFS,21,0.09,0 2 4 6 ,0 2 4 6 
tests/4-test.txt,7,B&B BFS,21,0.166,0 2 4 6 ,0 2 4 6 
tests/5-test.txt,1,Blind Search,2,0.01,0 ,0 
tests/5-test.txt,1,Best-Fit Search,1,0.005,0 ,0 
tests/5-test.txt,1,B&B DFS,1,0.008,0 ,0 
tests/5-test.txt,1,B&B BFS,1,0.013,0 ,0 
tests/6-test.txt,1,Blind Search,2,0.007,,
tests/6-test.txt,1,Best-Fit Search,1,0.005,,
tests/6-test.txt,1,B&B DFS,3,0.009,,
tests/6-test.txt,1,B&B BFS,3,0.013,,
tests/7-test.txt,5,Blind Search,160,0.016,0 1 2 3 4 ,0 1 2 3 4 
tests/7-test.txt,5,Best-Fit Search,5,0.013,4 3 0 2 1 ,0 1 2 3 4 
tests/7-test.txt,5,B&B DFS,1,0.018,0 1 2 3 4 ,0 1 2 3 4 
tests/7-test.txt,5,B&B BFS,1,0.016,0 1 2 3 4 ,0 1 2 3 4 
tests/8-test.txt,25,Blind Search,838860800,10100.2,2 5 14 22 23 ,2 5 14 22 23 
tests/8-test.txt,25,Best-Fit Search,25,0.055,14 5 23 20 2 ,2 5 14 22 23 
tests/8-test.txt,25,B&B DFS,301,3.404,2 5 14 22 23 ,2 5 14 22 23 
tests/8-test.txt,25,B&B BFS,42147,560.981,2 5 14 22 23 ,2 5 14 22 23 
tests/9-test.txt,25,Blind Search,838860800,10621.7,0 3 4 6 8 23 24 ,0 3 4 6 8 23 24 
tests/9-test.txt,25,Best-Fit Search,25,0.055,4 3 23 8 24 6 0 ,0 3 4 6 8 23 24 
tests/9-test.txt,25,B&B DFS,47,0.59,0 3 4 6 8 23 24 ,0 3 4 6 8 23 24 
tests/9-test.txt,25,B&B BFS,28671,399.565,0 3 4 6 8 23 24 ,0 3 4 6 8 23 24 
tests/10-test.txt,14,Blind Search,229376,3.638,7 ,7 
tests/10-test.txt,14,Best-Fit Search,14,0.025,7 ,7 
tests/10-test.txt,14,B&B DFS,27,0.161,7 ,7 
tests/10-test.txt,14,B&B BFS,75,0.695,7 ,7 
tests/11-test.txt,19,Blind Search,9961472,126.312,4 8 9 18 ,4 8 9 18 
tests/11-test.txt,19,Best-Fit Search,19,0.027,9 8 4 18 ,4 8 9 18 
tests/11-test.txt,19,B&B DFS,37,0.286,4 8 9 18 ,4 8 9 18 
tests/11-test.txt,19,B&B BFS,3479,39.938,4 8 9 18 ,4 8 9 18 
tests/12-test.txt,23,Blind Search,192937984,2500.1,2 5 11 13 16 ,2 5 11 13 16 
tests/12-test.txt,23,Best-Fit Search,23,0.034,5 16 2 13 6 18 ,2 5 11 13 16 
tests/12-test.txt,23,B&B DFS,349,3.31,2 5 11 13 16 ,2 5 11 13 16 
tests/12-test.txt,23,B&B BFS,7311,94.523,2 5 11 13 16 ,2 5 11 13 16 
tests/13-test.txt,16,Blind Search,1048576,15.665,1 4 5 6 7 10 13 ,1 4 5 6 7 10 13 
tests/13-test.txt,16,Best-Fit Search,16,0.023,5 6 10 7 1 4 13 ,1 4 5 6 7 10 13 
tests/13-test.txt,16,B&B DFS,127,0.924,1 4 5 6 7 10 13 ,1 4 5 6 7 10 13 
tests/13-test.txt,16,B&B BFS,957,9.761,1 4 5 6 7 10 13 ,1 4 5 6 7 10 13 
tests/14-test.txt,14,Blind Search,229376,2.902,1 5 6 ,1 5 6 
tests/14-test.txt,14,Best-Fit Search,14,0.02,6 0 5 ,1 5 6 
tests/14-test.txt,14,B&B DFS,83,0.424,1 5 6 ,1 5 6 
tests/14-test.txt,14,B&B BFS,537,4.093,1 5 6 ,1 5 6 
tests/15-test.txt,15,Blind Search,491520,6.774,2 8 9 14 ,2 8 9 14 
tests/15-test.txt,15,Best-Fit Search,15,0.021,14 2 9 8 ,2 8 9 14 
tests/15-test.txt,15,B&B DFS,33,0.193,2 8 9 14 ,2 8 9 14 
tests/15-test.txt,15,B&B BFS,641,5.858,2 8 9 14 ,2 8 9 14 
tests/16-test.txt,14,Blind Search,229376,3.456,2 3 4 8 ,2 3 4 8 
tests/16-test.txt,14,Best-Fit Search,14,0.029,3 2 8 13 7 ,2 3 4 8 
tests/16-test.txt,14,B&B DFS,115,0.731,2 3 4 8 ,2 3 4 8 
tests/16-test.txt,14,B&B BFS,529,4.56,2 3 4 8 ,2 3 4 8 
tests/17-test.txt,15,Blind Search,491520,6.414,2 4 10 11 14 ,2 4 10 11 14 
tests/17-test.txt,15,Best-Fit Search,15,0.029,2 4 10 6 9 ,2 4 10 11 14 
tests/17-test.txt,15,B&B DFS,161,0.991,2 4 10 11 14 ,2 4 10 11 14 
tests/17-test.txt,15,B&B BFS,1325,12.713,2 4 10 11 14 ,2 4 10 11 14 
tests/18-test.txt,9,Blind Search,4608,0.082,0 2 7 ,0 2 7 
tests/18-test.txt,9,Best-Fit Search,9,0.016,0 2 7 ,0 2 7 
tests/18-test.txt,9,B&B DFS,17,0.078,0 2 7 ,0 2 7 
tests/18-test.txt,9,B&B BFS,83,0.528,0 2 7 ,0 2 7 
tests/19-test.txt,26,Blind Search,1744830464,22052.8,2 3 11 12 25 ,2 3 11 12 25 
tests/19-test.txt,26,Best-Fit Search,26,0.049,25 11 12 3 20 ,2 3 11 12 25 
tests/19-test.txt,26,B&B DFS,159,1.88,2 3 11 12 25 ,2 3 11 12 25 
tests/19-test.txt,26,B&B BFS,20069,276.753,2 3 11 12 25 ,2 3 11 12 25 
tests/20-test.txt,18,Blind Search,4718592,58.865,0 5 7 12 13 ,0 5 7 12 13 
tests/20-test.txt,18,Best-Fit Search,18,0.036,12 7 0 3 13 ,0 5 7 12 13 
tests/20-test.txt,18,B&B DFS,125,1.023,0 5 7 12 13 ,0 5 7 12 13 
tests/20-test.txt,18,B&B BFS,2327,22.473,0 5 7 12 13 ,0 5 7 12 13 
tests/21-test.txt,26,Blind Search,1744830464,21355.3,1 5 19 24 25 ,1 5 19 24 25 
tests/21-test.txt,26,Best-Fit Search,26,0.052,19 24 25 13 10 ,1 5 19 24 25 
tests/21-test.txt,26,B&B DFS,229,3.011,1 5 19 24 25 ,1 5 19 24 25 
tests/21-test.txt,26,B&B BFS,24055,315.962,1 5 19 24 25 ,1 5 19 24 25 
tests/22-test.txt,11,Blind Search,22528,0.395,0 8 ,0 8 
tests/22-test.txt,11,Best-Fit Search,11,0.019,9 0 ,0 8 
tests/22-test.txt,11,B&B DFS,61,0.271,0 8 ,0 8 
tests/22-test.txt,11,B&B BFS,253,2.114,0 8 ,0 8 
tests/23-test.txt,23,Blind Search,192937984,2444.61,13 15 17 18 ,13 15 17 18 
tests/23-test.txt,23,Best-Fit Search,23,0.034,13 18 15 3 ,13 15 17 18 
tests/23-test.txt,23,B&B DFS,151,1.216,13 15 17 18 ,13 15 17 18 
tests/23-test.txt,23,B&B BFS,5733,65.132,13 15 17 18 ,13 15 17 18 
tests/24-test.txt,9,Blind Search,4608,0.084,1 ,1 
tests/24-test.txt,9,Best-Fit Search,9,0.018,1 ,1 
tests/24-test.txt,9,B&B DFS,61,0.188,1 ,1 
tests/24-test.txt,9,B&B BFS,69,0.45,1 ,1 
tests/25-test.txt,13,Blind Search,106496,1.412,0 7 11 ,0 7 11 
tests/25-test.txt,13,Best-Fit Search,13,0.019,11 7 12 ,0 7 11 
tests/25-test.txt,13,B&B DFS,49,0.231,0 7 11 ,0 7 11 
tests/25-test.txt,13,B&B BFS,229,1.789,0 7 11 ,0 7 11 
tests/26-test.txt,9,Blind Search,4608,0.086,2 5 6 ,2 5 6 
tests/26-test.txt,9,Best-Fit Search,9,0.019,6 7 ,2 5 6 
tests/26-test.txt,9,B&B DFS,33,0.154,2 5 6 ,2 5 6 
tests/26-test.txt,9,B&B BFS,109,0.85,2 5 6 ,2 5 6 
tests/27-test.txt,12,Blind Search,49152,0.74,2 3 6 11 ,2 3 6 11 
tests/27-test.txt,12,Best-Fit Search,12,0.027,3 6 10 11 9 ,2 3 6 11 
tests/27-test.txt,12,B&B DFS,85,0.467,2 3 6 11 ,2 3 6 11 
tests/27-test.txt,12,B&B BFS,253,2.271,2 3 6 11 ,2 3 6 11 
tests/28-test.txt,26,Blind Search,1744830464,21504,1 6 15 20 25 ,1 6 15 20 25 
tests/28-test.txt,26,Best-Fit Search,26,0.039,20 1 15 25 6 ,1 6 15 20 25 
tests/28-test.txt,26,B&B DFS,121,1.181,1 6 15 20 25 ,1 6 15 20 25 
tests/28-test.txt,26,B&B BFS,10321,135.044,1 6 15 20 25 ,1 6 15 20 25 
tests/29-test.txt,9,Blind Search,4608,0.071,2 7 8 ,2 7 8 
tests/29-test.txt,9,Best-Fit Search,9,0.013,2 8 7 ,2 7 8 
tests/29-test.txt,9,B&B DFS,17,0.067,2 7 8 ,2 7 8 
tests/29-test.txt,9,B&B BFS,77,0.456,2 7 8 ,2 7 8 
tests/30-test.txt,23,Blind Search,192937984,2432.16,0 4 6 16 ,0 4 6 16 
tests/30-test.txt,23,Best-Fit Search,23,0.042,16 4 10 14 ,0 4 6 16 
tests/30-test.txt,23,B&B DFS,469,5,0 4 6 16 ,0 4 6 16 
tests/30-test.txt,23,B&B BFS,19725,240.548,0 4 6 16 ,0 4 6 16 
tests/31-test.txt,25,Blind Search,838860800,10733.2,7 11 13 18 24 ,7 11 13 18 24 
tests/31-test.txt,25,Best-Fit Search,25,0.055,11 18 13 24 0 1 ,7 11 13 18 24 
tests/31-test.txt,25,B&B DFS,203,2.553,7 11 13 18 24 ,7 11 13 18 24 
tests/31-test.txt,25,B&B BFS,26781,355.729,7 11 13 18 24 ,7 11 13 18 24 
tests/32-test.txt,22,Blind Search,92274688,1166.83,0 2 ,0 2 
tests/32-test.txt,22,Best-Fit Search,22,0.046,0 2 ,0 2 
tests/32-test.txt,22,B&B DFS,69,0.585,0 2 ,0 2 
tests/32-test.txt,22,B&B BFS,343,3.34,0 2 ,0 2 
tests/33-test.txt,20,Blind Search,20971520,273.027,3 5 6 7 9 15 ,3 5 6 7 9 15 
tests/33-test.txt,20,Best-Fit Search,20,0.042,5 7 9 15 6 17 ,3 5 6 7 9 15 
tests/33-test.txt,20,B&B DFS,83,0.871,3 5 6 7 9 15 ,3 5 6 7 9 15 
tests/33-test.txt,20,B&B BFS,8365,95.075,3 5 6 7 9 15 ,3 5 6 7 9 15 
tests/34-test.txt,20,Blind Search,20971520,262.468,8 11 14 ,8 11 14 
tests/34-test.txt,20,Best-Fit Search,20,0.044,14 11 8 ,8 11 14 
tests/34-test.txt,20,B&B DFS,121,1.25,8 11 14 ,8 11 14 
tests/34-test.txt,20,B&B BFS,2463,30.961,8 11 14 ,8 11 14 
tests/35-test.txt,12,Blind Search,49152,0.83,0 3 4 5 6 10 ,0 3 4 5 6 10 
tests/35-test.txt,12,Best-Fit Search,12,0.025,3 6 0 10 5 4 ,0 3 4 5 6 10 
tests/35-test.txt,12,B&B DFS,13,0.096,0 3 4 5 6 10 ,0 3 4 5 6 10 
tests/35-test.txt,12,B&B BFS,127,1.343,0 3 4 5 6 10 ,0 3 4 5 6 10 
tests/36-test.txt,24,Blind Search,402653184,5043.43,0 8 10 15 18 ,0 8 10 15 18 
tests/36-test.txt,24,Best-Fit Search,24,0.054,0 18 10 8 15 ,0 8 10 15 18 
tests/36-test.txt,24,B&B DFS,59,0.695,0 8 10 15 18 ,0 8 10 15 18 
tests/36-test.txt,24,B&B BFS,6573,83.226,0 8 10 15 18 ,0 8 10 15 18 
tests/37-test.txt,27,Blind Search,-671088640,43960.3,5 8 ,5 8 
tests/37-test.txt,27,Best-Fit Search,27,0.053,8 26 ,5 8 
tests/37-test.txt,27,B&B DFS,101,0.865,5 8 ,5 8 
tests/37-test.txt,27,B&B BFS,551,7.72,5 8 ,5 8 
tests/38-test.txt,25,Blind Search,838860800,10373.8,0 1 ,0 1 
tests/38-test.txt,25,Best-Fit Search,25,0.039,18 0 ,0 1 
tests/38-test.txt,25,B&B DFS,103,0.659,0 1 ,0 1 
tests/38-test.txt,25,B&B BFS,467,5.155,0 1 ,0 1 
tests/39-test.txt,20,Blind Search,20971520,249.801,6 ,6 
tests/39-test.txt,20,Best-Fit Search,20,0.028,6 ,6 
tests/39-test.txt,20,B&B DFS,61,0.327,6 ,6 
tests/39-test.txt,20,B&B BFS,237,2.005,6 ,6 
tests/40-test.txt,8,Blind Search,2048,0.037,6 ,6 
tests/40-test.txt,8,Best-Fit Search,8,0.01,6 ,6 
tests/40-test.txt,8,B&B DFS,15,0.044,6 ,6 
tests/40-test.txt,8,B&B BFS,21,0.113,6 ,6 
tests/41-test.txt,19,Blind Search,9961472,119.87,2 8 10 12 13 14 17 ,2 8 10 12 13 14 17 
tests/41-test.txt,19,Best-Fit Search,19,0.043,14 2 8 10 12 17 13 ,2 8 10 12 13 14 17 
tests/41-test.txt,19,B&B DFS,67,0.744,2 8 10 12 13 14 17 ,2 8 10 12 13 14 17 
tests/41-test.txt,19,B&B BFS,5059,61.862,2 8 10 12 13 14 17 ,2 8 10 12 13 14 17 
tests/42-test.txt,22,Blind Search,92274688,1241.48,,
tests/42-test.txt,22,Best-Fit Search,22,0.043,,
tests/42-test.txt,22,B&B DFS,45,0.294,,
tests/42-test.txt,22,B&B BFS,45,0.571,,
tests/43-test.txt,19,Blind Search,9961472,137.256,7 16 18 ,7 16 18 
tests/43-test.txt,19,Best-Fit Search,19,0.036,16 7 18 ,7 16 18 
tests/43-test.txt,19,B&B DFS,35,0.293,7 16 18 ,7 16 18 
tests/43-test.txt,19,B&B BFS,2099,23.864,7 16 18 ,7 16 18 
tests/44-test.txt,25,Blind Search,838860800,10976.9,6 9 10 12 18 20 ,6 9 10 12 18 20 
tests/44-test.txt,25,Best-Fit Search,25,0.051,9 6 12 10 18 20 ,6 9 10 12 18 20 
tests/44-test.txt,25,B&B DFS,95,1.183,6 9 10 12 18 20 ,6 9 10 12 18 20 
tests/44-test.txt,25,B&B BFS,79955,1119.07,6 9 10 12 18 20 ,6 9 10 12 18 20 
tests/45-test.txt,8,Blind Search,2048,0.053,0 5 ,0 5 
tests/45-test.txt,8,Best-Fit Search,8,0.017,5 3 ,0 5 
tests/45-test.txt,8,B&B DFS,39,0.166,0 5 ,0 5 
tests/45-test.txt,8,B&B BFS,79,0.587,0 5 ,0 5 
tests/46-test.txt,10,Blind Search,10240,0.149,0 1 2 3 4 9 ,0 1 2 3 4 9 
tests/46-test.txt,10,Best-Fit Search,10,0.025,0 1 9 4 2 3 ,0 1 2 3 4 9 
tests/46-test.txt,10,B&B DFS,9,0.073,0 1 2 3 4 9 ,0 1 2 3 4 9 
tests/46-test.txt,10,B&B BFS,31,0.321,0 1 2 3 4 9 ,0 1 2 3 4 9 
tests/47-test.txt,9,Blind Search,4608,0.08,0 3 6 8 ,0 3 6 8 
tests/47-test.txt,9,Best-Fit Search,9,0.015,8 6 0 3 ,0 3 6 8 
tests/47-test.txt,9,B&B DFS,13,0.059,0 3 6 8 ,0 3 6 8 
tests/47-test.txt,9,B&B BFS,61,0.436,0 3 6 8 ,0 3 6 8 
tests/48-test.txt,23,Blind Search,192937984,2501.23,5 6 11 16 18 21 22 ,5 6 11 16 18 21 22 
tests/48-test.txt,23,Best-Fit Search,23,0.051,6 22 5 16 18 11 21 ,5 6 11 16 18 21 22 
tests/48-test.txt,23,B&B DFS,111,1.157,5 6 11 16 18 21 22 ,5 6 11 16 18 21 22 
tests/48-test.txt,23,B&B BFS,22401,302.142,5 6 11 16 18 21 22 ,5 6 11 16 18 21 22 
tests/49-test.txt,26,Blind Search,1744830464,18199,13 18 ,13 18 
tests/49-test.txt,26,Best-Fit Search,26,0.042,13 18 ,13 18 
tests/49-test.txt,26,B&B DFS,137,1.166,13 18 ,13 18 
tests/49-test.txt,26,B&B BFS,1061,11.355,13 18 ,13 18 
tests/50-test.txt,18,Blind Search,4718592,50.955,1 6 ,1 6 
tests/50-test.txt,18,Best-Fit Search,18,0.024,1 6 ,1 6 
tests/50-test.txt,18,B&B DFS,101,0.422,1 6 ,1 6 
tests/50-test.txt,18,B&B BFS,195,1.485,1 6 ,1 6 
tests/51-test.txt,13,Blind Search,106496,1.196,12 ,12 
tests/51-test.txt,13,Best-Fit Search,13,0.015,12 ,12 
tests/51-test.txt,13,B&B DFS,39,0.122,12 ,12 
tests/51-test.txt,13,B&B BFS,69,0.486,12 ,12 
tests/52-test.txt,26,Blind Search,1744830464,17059.6,1 6 11 13 25 ,1 6 11 13 25 
tests/52-test.txt,26,Best-Fit Search,26,0.037,25 6 11 1 13 ,1 6 11 13 25 
tests/52-test.txt,26,B&B DFS,101,0.918,1 6 11 13 25 ,1 6 11 13 25 
tests/52-test.txt,26,B&B BFS,44569,469.858,1 6 11 13 25 ,1 6 11 13 25 
tests/53-test.txt,9,Blind Search,4608,0.065,1 2 5 6 7 ,1 2 5 6 7 
tests/53-test.txt,9,Best-Fit Search,9,0.012,7 0 2 5 6 4 ,1 2 5 6 7 
tests/53-test.txt,9,B&B DFS,61,0.195,1 2 5 6 7 ,1 2 5 6 7 
tests/53-test.txt,9,B&B BFS,81,0.46,1 2 5 6 7 ,1 2 5 6 7 
tests/54-test.txt,8,Blind Search,2048,0.036,3 4 5 7 ,3 4 5 7 
tests/54-test.txt,8,Best-Fit Search,8,0.012,5 7 4 6 ,3 4 5 7 
tests/54-test.txt,8,B&B DFS,21,0.07,3 4 5 7 ,3 4 5 7 
tests/54-test.txt,8,B&B BFS,35,0.209,3 4 5 7 ,3 4 5 7 
tests/55-test.txt,25,Blind Search,838860800,8136.53,1 5 8 12 24 ,1 5 8 12 24 
tests/55-test.txt,25,Best-Fit Search,25,0.038,8 5 1 12 4 ,1 5 8 12 24 
tests/55-test.txt,25,B&B DFS,115,1.028,1 5 8 12 24 ,1 5 8 12 24 
tests/55-test.txt,25,B&B BFS,26541,266.304,1 5 8 12 24 ,1 5 8 12 24 
tests/56-test.txt,9,Blind Search,4608,0.079,1 3 6 8 ,1 3 6 8 
tests/56-test.txt,9,Best-Fit Search,9,0.013,3 6 8 1 ,1 3 6 8 
tests/56-test.txt,9,B&B DFS,11,0.047,1 3 6 8 ,1 3 6 8 
tests/56-test.txt,9,B&B BFS,61,0.376,1 3 6 8 ,1 3 6 8 
tests/57-test.txt,13,Blind Search,106496,1.268,1 10 12 ,1 10 12 
tests/57-test.txt,13,Best-Fit Search,13,0.016,1 12 10 ,1 10 12 
tests/57-test.txt,13,B&B DFS,39,0.17,1 10 12 ,1 10 12 
tests/57-test.txt,13,B&B BFS,235,1.468,1 10 12 ,1 10 12 
tests/58-test.txt,14,Blind Search,229376,2.467,0 2 4 7 12 ,0 2 4 7 12 
tests/58-test.txt,14,Best-Fit Search,14,0.018,2 7 4 9 12 ,0 2 4 7 12 
tests/58-test.txt,14,B&B DFS,71,0.331,0 2 4 7 12 ,0 2 4 7 12 
tests/58-test.txt,14,B&B BFS,665,5.719,0 2 4 7 12 ,0 2 4 7 12 
tests/59-test.txt,23,Blind Search,192937984,1877.99,9 14 15 ,9 14 15 
tests/59-test.txt,23,Best-Fit Search,23,0.033,14 15 6 ,9 14 15 
tests/59-test.txt,23,B&B DFS,199,1.462,9 14 15 ,9 14 15 
tests/59-test.txt,23,B&B BFS,3445,35.339,9 14 15 ,9 14 15 
tests/60-test.txt,10,Blind Search,10240,0.15,0 1 4 8 9 ,0 1 4 8 9 
tests/60-test.txt,10,Best-Fit Search,10,0.014,9 4 8 1 0 ,0 1 4 8 9 
tests/60-test.txt,10,B&B DFS,11,0.048,0 1 4 8 9 ,0 1 4 8 9 
tests/60-test.txt,10,B&B BFS,63,0.411,0 1 4 8 9 ,0 1 4 8 9 
tests/61-test.txt,9,Blind Search,4608,0.087,0 1 3 5 ,0 1 3 5 
tests/61-test.txt,9,Best-Fit Search,9,0.016,0 1 5 3 ,0 1 3 5 
tests/61-test.txt,9,B&B DFS,17,0.082,0 1 3 5 ,0 1 3 5 
tests/61-test.txt,9,B&B BFS,63,0.5,0 1 3 5 ,0 1 3 5 
tests/62-test.txt,13,Blind Search,106496,1.59,0 9 10 ,0 9 10 
tests/62-test.txt,13,Best-Fit Search,13,0.022,0 9 6 ,0 9 10 
tests/62-test.txt,13,B&B DFS,41,0.305,0 9 10 ,0 9 10 
tests/62-test.txt,13,B&B BFS,295,2.638,0 9 10 ,0 9 10 
tests/63-test.txt,10,Blind Search,10240,0.138,2 4 6 8 9 ,2 4 6 8 9 
tests/63-test.txt,10,Best-Fit Search,10,0.014,9 8 4 3 1 ,2 4 6 8 9 
tests/63-test.txt,10,B&B DFS,27,0.105,2 4 6 8 9 ,2 4 6 8 9 
tests/63-test.txt,10,B&B BFS,65,0.427,2 4 6 8 9 ,2 4 6 8 9 
tests/64-test.txt,13,Blind Search,106496,1.313,0 2 6 12 ,0 2 6 12 
tests/64-test.txt,13,Best-Fit Search,13,0.018,0 12 6 2 ,0 2 6 12 
tests/64-test.txt,13,B&B DFS,19,0.101,0 2 6 12 ,0 2 6 12 
tests/64-test.txt,13,B&B BFS,279,2.308,0 2 6 12 ,0 2 6 12 
tests/65-test.txt,12,Blind Search,49152,0.747,1 3 4 5 6 10 ,1 3 4 5 6 10 
tests/65-test.txt,12,Best-Fit Search,12,0.02,5 1 4 10 6 3 ,1 3 4 5 6 10 
tests/65-test.txt,12,B&B DFS,23,0.143,1 3 4 5 6 10 ,1 3 4 5 6 10 
tests/65-test.txt,12,B&B BFS,125,1.172,1 3 4 5 6 10 ,1 3 4 5 6 10 
tests/66-test.txt,8,Blind Search,2048,0.061,1 2 3 ,1 2 3 
tests/66-test.txt,8,Best-Fit Search,8,0.016,1 3 7 ,1 2 3 
